id,period,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,firm,firm_type,payment instrument,access point,sending network coverage,speed actual,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,note1,note2,receiving network coverage,receiving method,cash pickup location,date,corridor
620160002,2016_2Q,AGO,Angola,Sub-Saharan Africa,Upper middle income,IBRD,..,NAM,Namibia,Sub-Saharan Africa,Upper middle income,IBRD,..,Real Transfer,Money Transfer Operator,"Bank account transfer,Cash",Agent,Medium,Same day,33000,200,AOA,3300,0.087,4.19,14.19,83000,500,AOA,6300,0.087,4.19,11.78,0.0908,yes,,,High,Cash,Agent,11/May/2016,AGONAM
620160001,2016_2Q,AGO,Angola,Sub-Saharan Africa,Upper middle income,IBRD,..,NAM,Namibia,Sub-Saharan Africa,Upper middle income,IBRD,..,MoneyGram,Money Transfer Operator,Cash,Agent,High,Less than one hour,33000,200,AOA,2900,0.084,7.49,16.28,83000,500,AOA,5700,0.084,7.49,14.36,0.0908,yes,,,High,Cash,Agent,11/May/2016,AGONAM
620160003,2016_2Q,AGO,Angola,Sub-Saharan Africa,Upper middle income,IBRD,..,NAM,Namibia,Sub-Saharan Africa,Upper middle income,IBRD,..,Standard Bank,Bank,Bank account transfer,Bank branch,Low,Next day,33000,200,AOA,9075,1,0,27.5,83000,500,AOA,9075,1,0,10.93,1,no,"This RSP is not transparent: the exchange rate applied to the transaction was not disclosed. The 0% in the exchange rate margin does NOT necessarily mean that there is no exchange rate cost, but rather that this cost is not disclosed to the sender at the time of sending.",,Low,Bank account,,11/May/2016,AGONAM
620160133,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Citibank,Bank,Bank account transfer,Internet,High,Next day,200,200,AUD,0,0.7246,1.66,1.66,500,500,AUD,0,0.7246,1.66,1.66,0.73681,yes,This RSP sends AUD and pays out USD in this corridor. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,,High,Bank account (same/partner bank),,09/May/2016,AUSCHN
620160393,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Money2anywhere,Money Transfer Operator,Debit/credit card,Internet,High,3-5 days,200,200,AUD,12,0.767,-4.1,1.9,500,500,AUD,12,0.767,-4.1,-1.7,0.73681,yes,"The negative total cost does not mean that the RSP is suffering a loss in the transaction, but rather that the RSP benefits from a more favorable exchange rate.",,High,Bank account,,09/May/2016,AUSCHN
620160147,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Western Union,Money Transfer Operator,Bank account transfer,Internet,High,Less than one hour,200,200,AUD,5,4.7445,0.99,3.49,500,500,AUD,10,4.7445,0.99,2.99,4.79172,yes,,,High,Cash,Agent,09/May/2016,AUSCHN
620160138,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,MoneyGram,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,8,0.728739,1.1,5.1,500,500,AUD,16,0.728739,1.1,4.3,0.73681,yes,This RSP sends AUD and pays out USD in this corridor. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,,High,Cash,Agent,09/May/2016,AUSCHN
620160326,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,WorldRemit,Money Transfer Operator,"Bank account transfer,Debit/credit card",Internet,High,Next day,200,200,AUD,7.99,4.73,1.29,5.28,500,500,AUD,10.99,4.73,1.29,3.49,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160145,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Transferwise,Money Transfer Operator,Bank account transfer,Internet,High,3-5 days,200,200,AUD,5.05,4.634,3.29,5.82,500,500,AUD,7.39,4.634,3.29,4.77,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
620160146,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Western Union,Money Transfer Operator,Cash,Agent,High,Less than one hour,200,200,AUD,9.95,4.7206,1.48,6.46,500,500,AUD,18,4.7206,1.48,5.08,4.79172,yes,,,High,Cash,Agent,09/May/2016,AUSCHN
620160273,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Orbit Remit,Money Transfer Operator,Debit/credit card,Internet,High,Less than one hour,200,200,AUD,13,0.72885,1.08,7.58,500,500,AUD,15,0.72885,1.08,4.08,0.73681,yes,This RSP sends AUD and pays out USD in this corridor. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,,High,Bank account,,09/May/2016,AUSCHN
620160136,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Money Chain Foreign Exchange,Money Transfer Operator,Bank account transfer,"Agent,Call Center",High,Less than one hour,200,200,AUD,18,4.8475,-1.16,7.84,500,500,AUD,18,4.8475,-1.16,2.44,4.79172,yes,A negative exchange rate margin for this operator may be due to a promotion/special offer that the RSP had on at the time the information was collected.,This RSP sends AUD and pays out USD in this corridor. Remittance recipients may incur an additional cost (not shown here) if and when converting USD to the local currency.,High,Bank account,,09/May/2016,AUSCHN
620160132,2016_2Q,AUS,Australia,..,High income: OECD,..,G20,CHN,China,East Asia & Pacific,Upper middle income,IBRD,G20,Ceylon Exchange,Money Transfer Operator,Cash,Agent,High,Next day,200,200,AUD,10,4.65,2.96,7.96,500,500,AUD,10,4.65,2.96,4.96,4.79172,yes,,,High,Bank account,,09/May/2016,AUSCHN
